8928602,5889,166,MitoCOG0001
5819100,9770,347,MitoCOG0001
5834830,7245,341,MitoCOG0001
5834845,9031,346,MitoCOG0001
5834859,9720,347,MitoCOG0001
5834887,6239,282,MitoCOG0001
5834899,7668,352,MitoCOG0001
5834912,7165,341,MitoCOG0001
5834926,7469,333,MitoCOG0001
5834969,7656,352,MitoCOG0001
5834983,8355,345,MitoCOG0001
5834997,9771,347,MitoCOG0001
5835011,9711,347,MitoCOG0001
5835025,7962,348,MitoCOG0001
5835039,9267,347,MitoCOG0001
5835052,6661,296,MitoCOG0001
5835068,7757,347,MitoCOG0001
5835085,7594,354,MitoCOG0001
5835106,34587,338,MitoCOG0001
5835109,9796,346,MitoCOG0001
5835126,9598,347,MitoCOG0001
5835141,9597,347,MitoCOG0001
5835156,9593,347,MitoCOG0001
5835169,9600,347,MitoCOG0001
5835204,6398,335,MitoCOG0001
5835207,9685,347,MitoCOG0001
5835221,27779,342,MitoCOG0001
5835234,7227,341,MitoCOG0001
5835257,7004,342,MitoCOG0001
5835263,8022,349,MitoCOG0001
5835277,7980,348,MitoCOG0001
5835300,42349,307,MitoCOG0001
5835305,7640,351,MitoCOG0001
5835319,49895,345,MitoCOG0001
5835333,9809,347,MitoCOG0001
5835347,9793,346,MitoCOG0001
5835361,9319,348,MitoCOG0001
5835375,7897,348,MitoCOG0001
5835403,9807,347,MitoCOG0001
5835428,28835,315,MitoCOG0001
5835431,9361,347,MitoCOG0001
5835444,6282,283,MitoCOG0001
5835458,73431,345,MitoCOG0001
5835475,35080,349,MitoCOG0001
5835486,41261,346,MitoCOG0001
5835500,8797,346,MitoCOG0001
5835515,7740,346,MitoCOG0001
5835528,9986,347,MitoCOG0001
5835542,8496,353,MitoCOG0001
5835556,9940,347,MitoCOG0001
5835570,56549,343,MitoCOG0001
5835584,44522,346,MitoCOG0001
5835598,7830,348,MitoCOG0001
5835626,8030,349,MitoCOG0001
5835640,9557,348,MitoCOG0001
5835668,9417,348,MitoCOG0001
5835681,34612,318,MitoCOG0001
5835695,34632,313,MitoCOG0001
5835710,7797,348,MitoCOG0001
5835724,75140,346,MitoCOG0001
5835738,8479,346,MitoCOG0001
5835766,9818,347,MitoCOG0001
5835780,7957,348,MitoCOG0001
5835808,8049,348,MitoCOG0001
5835822,9580,347,MitoCOG0001
5835836,9601,347,MitoCOG0001
5835849,6669,329,MitoCOG0001
5835864,9823,347,MitoCOG0001
5835877,7213,340,MitoCOG0001
5835891,8038,349,MitoCOG0001
5835906,8036,349,MitoCOG0001
5835919,42377,341,MitoCOG0001
5835934,30385,346,MitoCOG0001
5835948,8954,346,MitoCOG0001
5835962,81930,346,MitoCOG0001
5835976,81927,346,MitoCOG0001
5835990,10141,347,MitoCOG0001
5836004,8469,346,MitoCOG0001
5836018,463521,344,MitoCOG0001
5836032,9833,347,MitoCOG0001
5836046,79736,348,MitoCOG0001
5836060,9258,347,MitoCOG0001
5836074,386614,348,MitoCOG0001
5881427,7739,346,MitoCOG0001
6137775,6359,328,MitoCOG0001
6137791,6116,385,MitoCOG0001
6137803,9785,347,MitoCOG0001
6691421,7580,328,MitoCOG0001
6691424,7748,347,MitoCOG0001
7212450,29159,332,MitoCOG0001
7335670,6211,293,MitoCOG0001
7335689,96460,296,MitoCOG0001
7335699,7729,333,MitoCOG0001
7374121,6687,333,MitoCOG0001
7524972,44689,488,MitoCOG0001
7549726,8928,346,MitoCOG0001
7555763,52775,346,MitoCOG0001
7580465,9375,347,MitoCOG0001
8395613,7955,348,MitoCOG0001
8404666,93892,282,MitoCOG0001
8572570,7091,334,MitoCOG0001
8573080,55149,347,MitoCOG0001
8844985,8456,343,MitoCOG0001
8954371,45157,500,MitoCOG0001
9653248,2769,497,MitoCOG0001
9653261,9755,347,MitoCOG0001
9695361,8255,348,MitoCOG0001
9695386,4787,497,MitoCOG0001
9790631,6617,346,MitoCOG0001
9801572,30538,347,MitoCOG0001
9838391,3555,300,MitoCOG0001
9997002,37347,347,MitoCOG0001
10803740,48457,348,MitoCOG0001
11182463,72491,332,MitoCOG0001
11386120,126282,347,MitoCOG0001
11465633,2787,495,MitoCOG0001
11465871,2986,504,MitoCOG0001
11465912,3054,496,MitoCOG0001
11465929,3159,440,MitoCOG0001
11466210,5762,492,MitoCOG0001
11466263,5908,178,MitoCOG0001
11466319,33653,805,MitoCOG0001
11466474,47573,502,MitoCOG0001
11466553,48483,498,MitoCOG0001
11466577,52970,496,MitoCOG0001
11466667,136089,494,MitoCOG0001
11467058,5755,527,MitoCOG0001
11467093,3055,382,MitoCOG0001
11467101,3197,489,MitoCOG0001
11467594,28583,474,MitoCOG0001
